naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa
PROGRAMIRANJE,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308948 , DLJE ČASA (OBČASNO) ,PROGRAMIRANJE,,"Razvoj programske opreme na strani strežnika. Pogoji: izkušnje s programiranjem, znanje angleškega jezika. Prednost je, če znaš uporabljati SQL, Javascript and HTML.","7,60 €/h neto"
DELJENJE LETAKOV,LJUBLJANA RUDNIK, 2 , Po dogovoru,, 308947 , 1 TEDEN ,DELJENJE LETAKOV,,Deljenje letakov v okolici trgovine. Delovni čas po dogovoru.,"4,13 €/h neto"
PRODAJA,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308946 ," DLJE ČASA (OBČASNO), PO DOGOVORU ",PRODAJA,,"Prodaja v čokoladnici v stari Ljubljani. Podjetje išče resno in urejeno osebo z znanjem tujih jezikov, osnovnim znanjem računalnika, odličnimi komunikacijskimi in organizacijskimi sposobnostmi  ter veseljem do dela z ljudmi.","5,50 €/h neto"
POMOČ UPORABNIKOM,LJUBLJANA CENTER, 1 , Izmensko, začasno in občasno delo, 308945 , DLJE ČASA (OBČASNO) ,POMOČ UPORABNIKOM,,"Mlado in energično mednarodno podjetje išče osebe za delo v podpori uporabnikom. Iščejo zanesljivo, komunikativno in pozitivno naravnano osebo, ki je sposobna te kvalitete ohraniti tudi v stresnih situacijah. Urnik je izmenski, od 11. do 17.ure oz. od 17. do 23.ure,  Prijave s CV-jem pošljite na e-naslov.","5,00 €/h neto"
BLAGAJNIK,KRANJ, 4 , Popoldan, začasno in občasno delo, 308944 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,"Podjetje išče polnoletne, komunikativne in samoiniciativne osebe za delo na blagajni kinematografa - prodaja kart in prigrizkov. Iščejo zanesljive osebe za popoldansko delo, med vikendi, prazniki in šolskimi počitnicami. Prijave z opisom in kontaktom ali CV-jem pošljite na e-mail.","4,13 €/h neto"
DELO S STRANKAMI,TRZIN, 1 , Dopoldan, začasno in občasno delo, 308943 , DLJE ČASA (OBČASNO) ,DELO S STRANKAMI,,"Podjetje potrebuje osebo za pomoč strankam za Italijo, tako da je pogoj odlično znanje italjanskega jezika. Delo večinoma na računalniku, na Facebooku in po mailih. Delo po želji lahko tudi med vikendi. Možnost kasnejše redne zaposlitve.","5,00 €/h neto"
STREŽBA,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308942 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Strežba v lokalu v centru Ljubljane, pri Zmajskem mostu. Delo je izmensko, urnik je fleksibilen. Zaželene so izkušnje in razpoložljivost vsaj 3-4 dni v tednu, tudi med vikendom. Pogoji: prijaznost in izkušnje pri delu s strankami. Nudijo dobro plačilo z možnostjo dodatnih dnevnih in mesečnih bonusov. Za več informacij pokliči.","5,50 €/h neto"
POMOČ PRI PRODAJI,TRŽIČ, 1 , Po dogovoru, začasno in občasno delo, 308941 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Podjetje potrebuje osebo za pomoč pri prodaji tekstilnih izdelkov in skrb za poslovalnico.,"4,13 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308940 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"V trgovini z lesom in lesnimi polizdelki (vezane, opažne in druge plošče, furnir, žagan les) podjetje išče polnoletno osebo z izkušnjami pri delu blagajničarja in za druga administrativna dela. Občasno tudi za pomoč pri pripravi blaga v skladišču.","5,49 €/h neto"
TEHNIČNA POMOČ,SEVNICA, 3 , Izmensko, začasno in občasno delo, 308937 , OD DECEMBRA DO 15.1.2020 ,TEHNIČNA POMOČ,,"Zavod potrebuje na drsališču pomoč pri organizacijskih in tehničnih zadevah. Izkušnje niso potrebne, zaželeno je, da je oseba polnoletna, šporni tip in ima veselje do dela s strankami.","4,13 €/h neto"
